wav,n10,n20,n30,ref 10,ref 20,ref 30
1534.41,-66.12169647,-60.62114716,-64.21644592,-36.71700287,-35.84287262,-35.76057816
1534.42,-66.05582428,-60.71624374,-64.27326965,-36.67053986,-35.94826508,-35.79011536
1534.43,-66.04210663,-60.82681656,-64.21942139,-36.48745346,-35.91435242,-35.82426834
1534.44,-66.03023529,-60.88008118,-64.02755737,-36.40290833,-35.95202255,-35.7452507
1534.45,-66.08074951,-61.00784683,-63.883461,-36.41474152,-36.04574966,-35.62085342
1534.46,-66.19589996,-61.04307175,-63.72916412,-36.29131317,-35.98583603,-35.70820999
1534.47,-66.31596375,-61.0959549,-63.65972519,-36.08404922,-35.99378586,-35.69157791
1534.48,-66.47248077,-61.27014923,-63.53995514,-36.04921722,-36.15633011,-35.57017899
1534.49,-66.59004211,-61.3285408,-63.37198639,-35.9801712,-36.24593353,-35.50479126
1534.5,-66.65675354,-61.42937088,-63.25765228,-35.85434723,-36.25085831,-35.55879974
1534.51,-66.76967621,-61.51119614,-63.0170517,-35.82423401,-36.3059082,-35.30854034
1534.52,-66.85270691,-61.63983536,-62.80463409,-35.87934113,-36.45954895,-35.21467209
1534.53,-66.80728912,-61.83504486,-62.68027496,-35.80890656,-36.46454239,-35.25378036
1534.54,-66.83264923,-61.94855118,-62.54406357,-35.73300934,-36.36746216,-35.20022202
1534.55,-66.70381165,-62.10168457,-62.39038467,-35.71438599,-36.51527405,-35.16760254
1534.56,-66.62294769,-62.28718948,-62.29310608,-35.80523682,-36.59667206,-35.12440491
1534.57,-66.43979645,-62.36627579,-62.16861343,-35.76451111,-36.48854065,-35.09674454
1534.58,-66.29924011,-62.53553009,-62.07226563,-35.79963684,-36.43405914,-35.16242218
1534.59,-66.19749451,-62.6737709,-61.92605591,-35.90978622,-36.47983551,-35.07246017
1534.6,-65.98817444,-62.8111763,-61.81919861,-35.91946411,-36.49420929,-35.06451035
1534.61,-65.94308472,-62.95807648,-61.76847458,-35.94303513,-36.45011139,-35.11933136
1534.62,-65.86976624,-63.04584885,-61.67235565,-35.98068237,-36.477314,-35.07676315
1534.63,-65.79481506,-63.18154144,-61.6649437,-36.11611176,-36.57914352,-35.13648605
1534.64,-65.69101715,-63.22745514,-61.7185936,-36.20002747,-36.40434265,-35.18595886
1534.65,-65.5880127,-63.27922821,-61.71954346,-36.2353096,-36.32909393,-35.32273865
1534.66,-65.54199982,-63.44873428,-61.76250839,-36.39218903,-36.3409462,-35.28532028
1534.67,-65.38039398,-63.46884918,-61.73414612,-36.44142532,-36.29510498,-35.26468277
