wav,TE0,TE1,ref
1541.66,-40.44696426,-34.43276978,-33.60161209
1541.67,-40.24729919,-34.53042221,-33.50178909
1541.68,-40.00680161,-34.55553436,-33.52745819
1541.69,-39.76235962,-34.57283783,-33.55715942
1541.7,-39.45856094,-34.57152176,-33.46660995
1541.71,-39.42005157,-34.71030045,-33.55286026
1541.72,-39.14294815,-34.72029114,-33.6055069
1541.73,-38.97546768,-34.75466156,-33.55725861
1541.74,-38.85091782,-34.88381577,-33.42351151
1541.75,-38.69620514,-34.97880936,-33.46171951
1541.76,-38.38998413,-34.96072388,-33.47501755
1541.77,-38.29419327,-35.10385132,-33.39968491
1541.78,-38.07120514,-35.27672195,-33.3821373
1541.79,-37.9024353,-35.37665176,-33.48674774
1541.8,-37.70485306,-35.42607117,-33.35357285
1541.81,-37.54190063,-35.56591415,-33.29185486
1541.82,-37.47259903,-35.86315536,-33.23568344
1541.83,-37.14210892,-35.9000206,-33.29623032
1541.84,-36.99703979,-36.00180054,-33.30284882
1541.85,-36.78608704,-36.19126129,-33.23207474
1541.86,-36.70808029,-36.40411758,-33.24071121
1541.87,-36.5471611,-36.53210449,-33.34570313
1541.88,-36.38069534,-36.69211578,-33.33906937
1541.89,-36.33145142,-37.00144196,-33.32799149
1541.9,-36.18198013,-37.18010712,-33.43481064
1541.91,-35.81114578,-37.21333694,-33.49290085
1541.92,-35.68530273,-37.45175552,-33.52699661
1541.93,-35.6170578,-37.68703079,-33.66009903
1541.94,-35.41833115,-37.81238937,-33.85850906
1541.95,-35.24104691,-37.92497635,-33.78438568
1541.96,-35.11903763,-38.25817871,-33.71474838
1541.97,-35.05736923,-38.44646454,-33.75909805
1541.98,-34.89261627,-38.60057449,-33.80677414
1541.99,-34.76066208,-38.88001251,-33.74080658
1542,-34.69754791,-39.10276031,-33.92220306
1542.01,-34.58802032,-39.30899048,-34.00693512
1542.02,-34.56254196,-39.50209427,-34.03928757
1542.03,-34.61058807,-39.96121216,-33.90562439
1542.04,-34.50346756,-40.21387863,-33.92653656
1542.05,-34.46870041,-40.51328659,-33.99933243
1542.06,-34.21950531,-40.67193604,-34.02046204
1542.07,-34.29121017,-40.98931885,-34.02032089
1542.08,-34.30634308,-41.31783295,-34.11856461
1542.09,-34.2088623,-41.49829102,-34.17131424
1542.1,-34.20036697,-41.80110931,-34.08810043
1542.11,-34.31776047,-42.36263657,-33.96372986
