wav,n = 10,n = 20,n = 30,ref 10,ref 20,ref 30
1522.12,-50.8261795,-58.05540848,-64.01140594,-42.39812469,-41.66971207,-41.44947815
1522.13,-50.79298782,-58.22806549,-64.03303528,-42.50344849,-41.62928772,-41.48856735
1522.14,-50.70655441,-58.42832565,-64.06859589,-42.51363373,-41.67514801,-41.41029358
1522.15,-50.70139694,-58.72620392,-64.15216827,-42.46461105,-41.82215881,-41.5154686
1522.16,-50.81132507,-58.97114182,-64.26072693,-42.70544815,-41.71699142,-41.52302551
1522.17,-50.75878906,-59.23064423,-64.36264038,-42.74757004,-41.7502594,-41.53874588
1522.18,-50.78794479,-59.50286484,-64.498909,-42.69758224,-41.81156921,-41.5901413
1522.19,-50.83106613,-59.85297775,-64.61090851,-42.66797256,-41.70694733,-41.48788834
1522.2,-50.84111023,-60.05970764,-64.81943512,-42.69177246,-41.73931122,-41.46405792
1522.21,-50.85782623,-60.22630692,-65.00297546,-42.89928818,-41.66976547,-41.54307556
1522.22,-50.86345673,-60.40205383,-65.19154358,-42.94621277,-41.56433105,-41.47360229
1522.23,-50.87281418,-60.44867706,-65.36997986,-43.11006927,-41.56865692,-41.38407898
1522.24,-50.86306763,-60.4664917,-65.51004791,-43.36831284,-41.4877739,-41.44012451
1522.25,-50.84251404,-60.48834991,-65.58518982,-43.44374466,-41.55814362,-41.41682816
1522.26,-50.77767181,-60.39734268,-65.67708588,-43.32575989,-41.60478973,-41.41270447
1522.27,-50.77100372,-60.36893082,-65.73635864,-43.26805496,-41.60560608,-41.46385956
1522.28,-50.68995285,-60.29883194,-65.77064514,-43.32276535,-41.62316895,-41.45515823
1522.29,-50.70695114,-60.13974762,-65.81388855,-43.41654968,-41.55949402,-41.5151062
1522.3,-50.64653778,-60.03441238,-65.84629059,-43.33698654,-41.56529236,-41.58472061
1522.31,-50.60870743,-59.89770889,-65.79032135,-43.34588623,-41.63656998,-41.64096451
1522.32,-50.58291245,-59.70843887,-65.74085236,-43.338974,-41.62863922,-41.65127563
1522.33,-50.58068466,-59.54068756,-65.59922791,-43.34737778,-41.68666077,-41.65799713
1522.34,-50.57204819,-59.35725403,-65.53435516,-43.24822998,-41.73342896,-41.59886932
1522.35,-50.55824661,-59.09410477,-65.43704224,-43.26181412,-41.68978119,-41.58897018
1522.36,-50.5790062,-58.84463501,-65.32794189,-43.2411499,-41.62007523,-41.53922653
1522.37,-50.57960129,-58.54518509,-65.20491028,-43.15431213,-41.55244827,-41.47320938
1522.38,-50.53432083,-58.26105881,-65.0519104,-43.14889145,-41.53535843,-41.44660568
1522.39,-50.52499008,-57.95097351,-64.91721344,-43.11865616,-41.45783234,-41.43113327
1522.4,-50.50972748,-57.65753937,-64.72895813,-43.08223343,-41.3821106,-41.3988266
1522.41,-50.51276779,-57.35108185,-64.5297699,-43.03413391,-41.31544876,-41.32750702
1522.42,-50.53853607,-57.09150314,-64.337677,-43.04624176,-41.24803925,-41.32225418
1522.43,-50.54449844,-56.87253952,-64.16110229,-42.98010254,-41.28006744,-41.37098312
1522.44,-50.55454254,-56.65732956,-64.01941681,-42.95833588,-41.17864227,-41.33737564
1522.45,-50.53521347,-56.52133942,-63.81391907,-42.89609528,-41.13938141,-41.291996
1522.46,-50.57054138,-56.36953354,-63.69641876,-42.96766663,-41.1552887,-41.39208984
