wav,TE0,TE1,ref,TE0 Norm,TE1 Norm,Sum,,,
1521.15,-44.22885132,-46.65087128,-41.89123278,-2.337618535,-4.759638494,-0.371630029,,,
1521.16,-44.18428421,-46.54434204,-41.73354083,-2.450743383,-4.810801213,-0.462093114,,,
1521.17,-44.21289063,-46.45465088,-41.73117953,-2.481711095,-4.723471349,-0.449223944,,,
1521.18,-44.20518494,-46.38728333,-41.78176623,-2.423418706,-4.605517095,-0.368537209,,,
1521.19,-44.23449707,-46.3320694,-41.59756594,-2.636931127,-4.734503453,-0.549992696,,,
1521.2,-44.32484055,-46.23290253,-41.6567319,-2.668108647,-4.576170629,-0.507883991,,,
1521.21,-44.3254509,-46.22360611,-41.4288724,-2.896578496,-4.794733708,-0.732468719,,,
1521.22,-44.61779022,-46.26771545,-41.49688464,-3.120905583,-4.770830815,-0.857682208,,,
1521.23,-44.70041656,-46.28888702,-41.45249682,-3.247919744,-4.836390203,-0.959631624,,,
1521.24,-44.60296249,-46.07378769,-41.40906649,-3.193896001,-4.664721196,-0.857038408,,,
1521.25,-44.67127991,-45.99242401,-41.43607073,-3.235209172,-4.556353276,-0.835436512,,,
1521.26,-44.65522003,-45.91659927,-41.41790896,-3.237311071,-4.498690313,-0.812065905,,,
1521.27,-44.80213165,-45.94889069,-41.45734149,-3.344790166,-4.491549199,-0.870128815,,,
1521.28,-44.8432312,-45.91455078,-41.39793139,-3.44529981,-4.51661939,-0.937708862,,,
1521.29,-44.86371994,-45.78708649,-41.44949847,-3.414221471,-4.337588018,-0.841110903,,,
1521.3,-44.77499008,-45.68049622,-41.47089892,-3.304091161,-4.209597295,-0.722987086,,,
1521.31,-44.78215027,-45.60071182,-41.37577944,-3.406370824,-4.224932378,-0.786094735,,,
1521.32,-44.85438538,-45.48881531,-41.54568225,-3.30870313,-3.943133062,-0.604043506,,,
1521.33,-44.89384842,-45.43788147,-41.35829287,-3.535555547,-4.079588597,-0.788758922,,,
1521.34,-45.014328,-45.36816406,-41.40984088,-3.604487126,-3.958323186,-0.767502651,,,
1521.35,-45.05053711,-45.32633209,-41.25627261,-3.794264501,-4.070059484,-0.919673138,,,
1521.36,-45.10351563,-45.32038116,-41.21658831,-3.886927312,-4.103792852,-0.983706614,,,
1521.37,-45.10124207,-45.21797943,-41.19033938,-3.910902684,-4.02764005,-0.958579188,,,
1521.38,-45.17225647,-45.049366,-41.1596654,-4.012591069,-3.889700597,-0.940411219,,,
1521.39,-45.21705627,-44.86145401,-41.41945391,-3.797602361,-3.442000096,-0.605862679,,,
1521.4,-45.24040604,-44.69281006,-41.29845172,-3.94195432,-3.394358342,-0.649231382,,,
1521.41,-45.34065247,-44.46811295,-41.29068499,-4.049967473,-3.177427953,-0.581521811,,,
1521.42,-45.33919525,-44.39672089,-41.26837664,-4.070818608,-3.128344243,-0.563765362,,,
